	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	negative_predictive_value	specificity	precision	accuracy	diagnostic_odds_ratio	recall	miss_rate	threat_score	positive_likelyhood_ratio	informedness	prevalence_threshold	fall_out	matthews_correlation_coefficient	false_omission_rate	f1_score	markedness	prevalence	fowlkes_mallows_index	negative_likelyhood_ratio	false_discovery_rate	balanced_accuracy	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')
0	train	0.7499985175082279	1.0	True	False	0.4609185698003293	0.2877977163220766	0.48230017282143445	0.4756251844979547	0.7965430107546249	0.6634328515554994	0.33656714844450064	0.3874903983658365	0.9315230612985806	-0.04876943212242402	0.5088658621511322	0.7122022836779234	-0.05262309072578106	0.5390814301996707	0.5585485835753766	-0.05678125737823625	0.5000263568506726	0.5656622481310154	1.1694573283821537	0.5176998271785656	0.475615283938788	0.4941686937605758	0.5193296468126022	384.47544264793396	0.06636571884155273	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.7499985175082279	1.0	True	False	0.479338083802475	0.2888263341425036	0.4911197741327705	0.4875703713074831	0.888501096988789	0.686298694624319	0.31370130537568097	0.4010821700698189	0.9650226485774267	-0.02487497123317739	0.5044503459584444	0.7111736658574964	-0.0271083000947534	0.520661916197525	0.572531973695493	-0.029542142064754473	0.5000197672212031	0.5805642599157399	1.0861243186395337	0.5088802258672295	0.4875625143834113	0.5132345053783756	0.5332758806353562	384.47544264793396	0.06636571884155273	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.7499985175082279	1.0	True	False	0.870844551472526	0.8883675814733202	0.8860874570326579	0.8783130561295492	52.44848511871194	0.8682595907523957	0.13174040924760433	0.781075442173645	7.7778444847083925	0.7566271722257158	0.26393032749993717	0.11163241852667982	0.756779575016668	0.1291554485274739	0.877082939530525	0.756932008505184	0.5000263568506726	0.877128230542152	0.14829493105671238	0.1139125429673421	0.8783135861128579	0.9018721143332478	0.8992825567786	417.5952715873718	0.14002704620361328	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.7499985175082279	1.0	True	False	0.8921023359288098	0.887820538164106	0.8883651757892418	0.8902247137706369	65.79523870771774	0.8926286992891989	0.10737130071080114	0.802600523232668	7.957149059914503	0.780449237453305	0.2617224225819983	0.112179461835894	0.7804583745321922	0.10789766407119021	0.890491834312059	0.7804675117180517	0.5000197672212031	0.890494385921984	0.12093806810645608	0.11163482421075821	0.8902246187266525	0.9353173105608382	0.9412258233740256	417.5952715873718	0.14002704620361328	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.7499985175082279	1.0	True	False	0.8738659919370473	0.9267188208377704	0.9220100874658468	0.8964834689832581	81.9048994384488	0.8662513045953383	0.13374869540466172	0.8071114603540996	11.820924751737875	0.7929701254331087	0.22531874398316198	0.07328117916222965	0.7944217736903513	0.12613400806295266	0.8932614042478021	0.7958760794028941	0.5000263568506726	0.8936959444449503	0.14432500171276388	0.07798991253415322	0.8964850627165544	0.9135640180757494	0.934227801270595	393.6195492744446	0.09452247619628906	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.7499985175082279	1.0	True	False	0.8922209523809523	0.925964876212767	0.923061120515391	0.9070584793472073	99.31679078463098	0.8881535773302656	0.11184642266973444	0.8269361012956419	11.996381337629689	0.8141184535430326	0.2240354523175536	0.07403512378723298	0.814700055473012	0.10777904761904762	0.9052709623606304	0.8152820728963435	0.5000197672212031	0.9054391400200391	0.12078905533349249	0.07693887948460898	0.9070592267715163	0.9311429143193968	0.9504426832742507	393.6195492744446	0.09452247619628906	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.7499985175082279	1.0	True	False	0.8707865448050429	0.922654380212342	0.917764761931452	0.8928778518112428	75.21031276622742	0.8631044625067207	0.13689553749327932	0.8011458710479191	11.15906065367707	0.7857588427190627	0.23038724755609338	0.07734561978765797	0.7871538364296224	0.12921345519495703	0.8895957667013465	0.7885513067364949	0.5000263568506726	0.8900150906329928	0.1483714166747616	0.08223523806854804	0.8928794213595314	0.9233526973688472	0.9369508358868993	397.89975786209106	0.13351893424987793	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.7499985175082279	1.0	True	False	0.8896985807476664	0.9209833395273075	0.9181103007457183	0.9034054968688722	90.43309220886748	0.885829044015908	0.11417095598409199	0.8209643145013557	11.21066163409985	0.8068123835432155	0.229978496756468	0.07901666047269251	0.8073104787657946	0.1103014192523336	0.901680837964323	0.8078088814933846	0.5000197672212031	0.9018252436091693	0.12396636408503325	0.08188969925428169	0.9034061917716077	0.9277608725554645	0.9433750268825021	397.89975786209106	0.13351893424987793	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.7499985175082279	1.0	True	False	0.5062742913007661	0.3903839868419665	0.5039794283606385	0.5048641567916333	1.041869329796672	0.6193322580305091	0.38066774196949094	0.38478555252992835	1.015938303231475	0.009716244872475688	0.4980234325278961	0.6096160131580335	0.009981365191391589	0.49372570869923393	0.5557330545902157	0.010253719661404537	0.5000263568506726	0.5586866003114084	0.9751110568056961	0.49602057163936153	0.5048581224362378	0.5249730945951445	0.5434145999256158	352.9964096546173	0.05938434600830078	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.7499985175082279	1.0	True	False	0.5225421772237696	0.39014130168344313	0.5134587846405209	0.5168495793535328	1.1549742186222574	0.643547838737478	0.356452161262522	0.3997662128445414	1.0552408951678742	0.03368914042092119	0.4932792701056036	0.6098586983165568	0.0348258734209827	0.4774578227762304	0.5711899732629703	0.03600096186429047	0.5000197672212031	0.5748350121001498	0.9136488747139717	0.48654121535947914	0.5168445702104606	0.5448572484620259	0.5595807369648425	352.9964096546173	0.05938434600830078	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.45152902603149414	1.1444091796875e-05	2.384185791015625e-06	3.5762786865234375e-06		42	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
