	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	negative_predictive_value	specificity	precision	accuracy	diagnostic_odds_ratio	recall	miss_rate	threat_score	positive_likelyhood_ratio	informedness	prevalence_threshold	fall_out	matthews_correlation_coefficient	false_omission_rate	f1_score	markedness	prevalence	fowlkes_mallows_index	negative_likelyhood_ratio	false_discovery_rate	balanced_accuracy	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')
0	train	0.750000494163924	1.0	True	False	0.4613482273029188	0.29109129583308074	0.48222223505653194	0.4756372377184636	0.7976724596531017	0.6601656699935956	0.3398343300064044	0.3863235366696279	0.931242155884368	-0.04874303417332371	0.5089035503038258	0.7089087041669193	-0.052445656460741785	0.5386517726970812	0.5573353210141623	-0.056429537640549254	0.5000237209780423	0.5642220882701284	1.1674493015458427	0.517777764943468	0.47562848291333815	0.49427102186547434	0.5194667546890434	356.854207277298	0.06322598457336426	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.750000494163924	1.0	True	False	0.4769769834963723	0.2895504685090737	0.48999829709939263	0.4860461530554556	0.8761925698978195	0.6825247477782346	0.3174752522217654	0.3990467957637422	0.9606942049013817	-0.027924783712691692	0.5050122228163451	0.7104495314909263	-0.030367880178497814	0.5230230165036277	0.5704552513497617	-0.033024719404235015	0.5000217442012169	0.5783043871003638	1.0964418529746454	0.5100017029006074	0.48603760814365415	0.5100621420328305	0.5302635026566862	356.854207277298	0.06322598457336426	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.750000494163924	1.0	True	False	0.8705470852944671	0.8882451705751029	0.885937113280031	0.8780860333516951	52.2322782636368	0.8679278600212424	0.13207213997875755	0.7806902339342101	7.766356626265697	0.7561730305963454	0.2640739275943396	0.11175482942489712	0.7563285985828685	0.12945291470553286	0.876840024229676	0.7564841985744981	0.5000237209780423	0.876886254221455	0.14868883541831832	0.114062886719969	0.8780865152981727	0.9058100000095269	0.8942671390797672	381.608913898468	0.1453261375427246	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.750000494163924	1.0	True	False	0.892843008437683	0.8919463883287866	0.8920641690955191	0.8924531807812889	68.86285852450283	0.8929599291565198	0.10704007084348022	0.8058883552993057	8.264045184103859	0.7849063174853064	0.25808281594700216	0.10805361167121341	0.7849067475091365	0.10715699156231696	0.8925118243710461	0.7849071775332022	0.5000217442012169	0.8925119367485258	0.12000729219167311	0.10793583090448089	0.8924531587426532	0.9185951368203686	0.9099407982542226	381.608913898468	0.1453261375427246	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.750000494163924	1.0	True	False	0.873451908442508	0.9257471803644243	0.9210263684632507	0.8958161466061869	80.49582445252376	0.8658879526868004	0.1341120473131996	0.8060426889106967	11.661347770178676	0.7916351330512246	0.2265071557454513	0.07425281963557573	0.7930554308776897	0.12654809155749203	0.8926064636897993	0.7944782769057586	0.5000237209780423	0.8930317108362966	0.1448689773598941	0.0789736315367493	0.8958175665256123	0.9128078457868914	0.9304598409783205	356.37651228904724	0.09722566604614258	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.750000494163924	1.0	True	False	0.8940630232912163	0.9288103427825881	0.9259384177491136	0.9093820298014161	105.51390021403517	0.8899554065593472	0.11004459344065276	0.8308151078764975	12.501189657950453	0.8187657493419354	0.22047303108490568	0.07118965721741188	0.8193833622516707	0.10593697670878369	0.9075903998193818	0.82000144104033	0.5000217442012169	0.9077686384849563	0.11847907842086931	0.07406158225088644	0.9093828746709677	0.9301499965425611	0.9462330629563601	356.37651228904724	0.09722566604614258	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.750000494163924	1.0	True	False	0.8710523298420184	0.9210871049281352	0.9162863917502713	0.8923713334616024	73.93769754448029	0.8636582865305499	0.13634171346945012	0.8004949092259287	10.944450659730945	0.784745391458685	0.2321133556686261	0.07891289507186483	0.7860409870270901	0.1289476701579816	0.8891943044371935	0.7873387215922896	0.5000237209780423	0.8895832367295933	0.148022605831712	0.08371360824972873	0.8923726957293425	0.9294732256724961	0.9291477744628283	363.70344281196594	0.13607168197631836	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.750000494163924	1.0	True	False	0.8899248899248899	0.9237654687067568	0.920759121207887	0.9047564451789153	93.94225300035993	0.8857490749233056	0.11425092507669443	0.8230125553751552	11.6187383840033	0.8095145436300624	0.226827987048872	0.0762345312932432	0.8100990663495042	0.11007511007511007	0.9029148515170687	0.8106840111327771	0.5000217442012169	0.9030844588614522	0.12367957987934125	0.07924087879211295	0.9047572718150312	0.9278390320255424	0.9365637247906128	363.70344281196594	0.13607168197631836	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.750000494163924	1.0	True	False	0.5058037762784453	0.39223180185190554	0.5037138115910524	0.5045241176455084	1.038805678700909	0.6168057792103397	0.38319422078966026	0.3836547477754536	1.0148701118120087	0.00903758106224517	0.49815492891907015	0.6077681981480945	0.009274479601984575	0.4941962237215547	0.5545527139516093	0.009517587869497746	0.5000237209780423	0.5573989505349193	0.9769585713866782	0.49628618840894756	0.5045187905311226	0.5246664949860276	0.5420373577276403	351.92987084388733	0.05947756767272949	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.750000494163924	1.0	True	False	0.5204530621697299	0.39095401889850945	0.5123367290731466	0.5153850107337284	1.140212741951831	0.6398051804294886	0.36019481957051136	0.39764323166207205	1.0505039032888264	0.030759199327998088	0.49384156683237873	0.6090459811014906	0.03175827017901142	0.47954693783027014	0.5690196505859313	0.03278979124287651	0.5000217442012169	0.5725344473350915	0.921322718680165	0.48766327092685335	0.515379599663999	0.5433810325358162	0.559167695062488	351.92987084388733	0.05947756767272949	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.2947874069213867	1.2874603271484375e-05	1.6689300537109375e-06	1.6689300537109375e-06		84	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.750000494163924	1.0	True	False	0.4625327665008738	0.2902135780048657	0.48290813289449935	0.4765162317381415	0.803687703978363	0.6628012091853812	0.3371987908146188	0.38766673295134857	0.9338037311594625	-0.046985212809753096	0.5085602885698074	0.7097864219951343	-0.05063073130636292	0.5374672334991262	0.5587317527268849	-0.054559100604626876	0.5000237209780423	0.5657491444164356	1.1618987406887122	0.5170918671055007	0.47650739359512345	0.49464656900368376	0.5197123513308547	353.7145686149597	0.07320666313171387	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.29056525230407715	1.1920928955078125e-05	1.6689300537109375e-06	1.430511474609375e-06		126	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.750000494163924	1.0	True	False	0.4823266806722689	0.29047001518218624	0.4924199570087114	0.48938088084130626	0.9038921439179586	0.6882728739049305	0.3117271260950695	0.40262527404419857	0.9700405742283866	-0.02125711091288318	0.5038020991207396	0.7095299848178138	-0.02316923658083342	0.5176733193277311	0.5741024085261297	-0.025253362319019645	0.500023721040563	0.5821677584498545	1.073181773683423	0.5075800429912887	0.4893714445435584	0.5133139077977765	0.5307500551385508	353.7145686149597	0.07320666313171387	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.29056525230407715	1.1920928955078125e-05	1.6689300537109375e-06	1.430511474609375e-06		126	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.750000494163924	1.0	True	False	0.8704706028178325	0.8884929347668512	0.8861465011007229	0.8781466536289143	52.30520515275359	0.8678013541400368	0.13219864585996322	0.7807504256237344	7.782478646761631	0.756294288906888	0.263872473911286	0.1115070652331488	0.7564556791926893	0.1295293971821675	0.8768779885033748	0.7566171039185554	0.5000237209780423	0.8769259567498632	0.14878975474875708	0.1138534988992771	0.878147144453444	0.9057177883706228	0.9177717292541053	379.36419677734375	0.1378319263458252	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.29056525230407715	1.1920928955078125e-05	1.6689300537109375e-06	1.430511474609375e-06		126	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.750000494163924	1.0	True	False	0.8943172233803848	0.8887588562753036	0.889456397039179	0.891871590100419	68.08923067200814	0.8949840285904045	0.10501597140959551	0.8053990209471766	8.045440730143365	0.783742884865708	0.26065773350837196	0.1112411437246964	0.7837582524919717	0.10568277661961521	0.89221165138844	0.7837736204195638	0.500023721040563	0.8922159320913468	0.1181602531081452	0.110543602960821	0.891871442432854	0.9190633850878502	0.9070767232362861	379.36419677734375	0.1378319263458252	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.29056525230407715	1.1920928955078125e-05	1.6689300537109375e-06	1.430511474609375e-06		126	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.750000494163924	1.0	True	False	0.8730766556406513	0.9266749781888438	0.9218870213231949	0.8959848291167098	81.18305140739533	0.8652975919078405	0.1347024080921595	0.8061893489961891	11.80085011275357	0.7919725700966844	0.22546711772758507	0.07332502181115619	0.7934667140961664	0.12692334435934877	0.8926963825185197	0.7949636769638462	0.5000237209780423	0.893144232227949	0.14536100710891212	0.07811297867680511	0.8959862850483422	0.9204104103226444	0.9402131821023868	351.629017829895	0.09016609191894531	Edge Prediction	Perceptron	Ensmallen	HomoSapiens	16812	505905	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""PPI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.3589859008789062e-05	9.5367431640625e-06	5.0067901611328125e-06	0.29056525230407715	1.1920928955078125e-05	1.6689300537109375e-06	1.430511474609375e-06		126	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
