	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	informedness	positive_likelyhood_ratio	fall_out	diagnostic_odds_ratio	accuracy	recall	specificity	prevalence	threat_score	false_omission_rate	f1_score	markedness	matthews_correlation_coefficient	precision	negative_likelyhood_ratio	balanced_accuracy	false_discovery_rate	miss_rate	fowlkes_mallows_index	prevalence_threshold	negative_predictive_value	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')	('features_parameters', 'random_state')	('features_parameters', 'embedding_size')	('features_parameters', 'epochs')	('features_parameters', 'learning_rate')	('features_parameters', 'learning_rate_decay')	('features_parameters', 'avoid_false_negatives')	('features_parameters', 'use_scale_free_distribution')	('features_parameters', 'node_embedding_path')	('features_parameters', 'dtype')	('features_parameters', 'verbose')	('features_parameters', 'contextual_node_embedding_path')	('features_parameters', 'clipping_value')	('features_parameters', 'number_of_negative_samples')	('features_parameters', 'walk_length')	('features_parameters', 'iterations')	('features_parameters', 'window_size')	('features_parameters', 'max_neighbours')	('features_parameters', 'central_nodes_embedding_path')	('features_parameters', 'contextual_nodes_embedding_path')	('features_parameters', 'normalize_by_degree')	('features_parameters', 'stochastic_downsample_by_degree')	('features_parameters', 'normalize_learning_rate_by_degree')	('features_parameters', 'return_weight')	('features_parameters', 'explore_weight')
0	train	0.001620319119467757	1.0	True	False	-0.021446078431372584	0.0	0.021446078431372584	0.0	0.4892769607843137	0.0	0.9785539215686274	0.5	0.0	0.5054196345617838	0.0	-0.5054196345617838	-0.10411181068239898	0.0	1.0219160926737634	0.4892769607843137	1.0	1.0	0.0	1.0	0.49458036543821615	0.4786779160959727	0.4667975289826448	0.0006670951843261719	0.0048673152923583984	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.115175724029541	0.07166743278503418	3.0994415283203125e-06	2.384185791015625e-06	First-order LINE	126	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.018382352941176516	0.0	0.018382352941176516	0.0	0.49080882352941174	0.0	0.9816176470588235	0.5	0.0	0.5046382189239332	0.0	-0.5046382189239332	-0.09631426606617756	0.0	1.0187265917602997	0.49080882352941174	1.0	1.0	0.0	1.0	0.49536178107606677	0.47613335315743943	0.4719255050308533	0.0006670951843261719	0.0048673152923583984	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.115175724029541	0.07166743278503418	3.0994415283203125e-06	2.384185791015625e-06	First-order LINE	126	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.01899509803921573	0.0	0.01899509803921573	0.0	0.49050245098039214	0.0	0.9810049019607843	0.5	0.0	0.5047943086916177	0.0	-0.5047943086916177	-0.09792148580998661	0.0	1.0193628981886322	0.49050245098039214	1.0	1.0	0.0	1.0	0.4952056913083823	0.47640368187716264	0.4639067490099573	0.0008187294006347656	0.007907629013061523	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	0.9798581600189209	0.07115554809570312	3.0994415283203125e-06	6.67572021484375e-06	First-order LINE	168	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.02941176470588236	0.0	0.02941176470588236	0.0	0.4852941176470588	0.0	0.9705882352941176	0.5	0.0	0.5074626865671642	0.0	-0.5074626865671642	-0.12216944435630524	0.0	1.0303030303030303	0.4852941176470588	1.0	1.0	0.0	1.0	0.4925373134328358	0.46599771572231835	0.4556764636525802	0.0008187294006347656	0.007907629013061523	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	0.9798581600189209	0.07115554809570312	3.0994415283203125e-06	6.67572021484375e-06	First-order LINE	168	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.01899509803921573	0.0	0.01899509803921573	0.0	0.49050245098039214	0.0	0.9810049019607843	0.5	0.0	0.5047943086916177	0.0	-0.5047943086916177	-0.09792148580998661	0.0	1.0193628981886322	0.49050245098039214	1.0	1.0	0.0	1.0	0.4952056913083823	0.47640368187716264	0.4639067490099573	0.0007371902465820312	0.007164955139160156	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	0.9798581600189209	0.07115554809570312	3.0994415283203125e-06	6.67572021484375e-06	First-order LINE	168	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.02941176470588236	0.0	0.02941176470588236	0.0	0.4852941176470588	0.0	0.9705882352941176	0.5	0.0	0.5074626865671642	0.0	-0.5074626865671642	-0.12216944435630524	0.0	1.0303030303030303	0.4852941176470588	1.0	1.0	0.0	1.0	0.4925373134328358	0.46599771572231835	0.4556764636525802	0.0007371902465820312	0.007164955139160156	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	0.9798581600189209	0.07115554809570312	3.0994415283203125e-06	6.67572021484375e-06	First-order LINE	168	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.02267156862745101	0.0	0.02267156862745101	0.0	0.4886642156862745	0.0	0.977328431372549	0.5	0.0	0.5057328788348311	0.0	-0.5057328788348311	-0.10707827823448714	0.0	1.0231974921630094	0.4886642156862745	1.0	1.0	0.0	1.0	0.4942671211651689	0.48013393661692616	0.46309744185877205	0.0007681846618652344	0.007798433303833008	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.097445011138916	0.06971526145935059	2.86102294921875e-06	2.384185791015625e-06	First-order LINE	210	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.014705882352941124	0.0	0.014705882352941124	0.0	0.49264705882352944	0.0	0.9852941176470589	0.5	0.0	0.5037037037037037	0.0	-0.5037037037037037	-0.08606629658238689	0.0	1.0149253731343284	0.49264705882352944	1.0	1.0	0.0	1.0	0.49629629629629635	0.4734004987564879	0.46057905582752123	0.0007681846618652344	0.007798433303833008	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.097445011138916	0.06971526145935059	2.86102294921875e-06	2.384185791015625e-06	First-order LINE	210	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.02267156862745101	0.0	0.02267156862745101	0.0	0.4886642156862745	0.0	0.977328431372549	0.5	0.0	0.5057328788348311	0.0	-0.5057328788348311	-0.10707827823448714	0.0	1.0231974921630094	0.4886642156862745	1.0	1.0	0.0	1.0	0.4942671211651689	0.48013393661692616	0.46309744185877205	0.0007796287536621094	0.0064983367919921875	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.097445011138916	0.06971526145935059	2.86102294921875e-06	2.384185791015625e-06	First-order LINE	210	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.014705882352941124	0.0	0.014705882352941124	0.0	0.49264705882352944	0.0	0.9852941176470589	0.5	0.0	0.5037037037037037	0.0	-0.5037037037037037	-0.08606629658238689	0.0	1.0149253731343284	0.49264705882352944	1.0	1.0	0.0	1.0	0.49629629629629635	0.4734004987564879	0.46057905582752123	0.0007796287536621094	0.0064983367919921875	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.097445011138916	0.06971526145935059	2.86102294921875e-06	2.384185791015625e-06	First-order LINE	210	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.01930147058823528	0.0	0.01930147058823528	0.0	0.49034926470588236	0.0	0.9806985294117647	0.5	0.0	0.5048723897911833	0.0	-0.5048723897911833	-0.09871565013900573	0.0	1.0196813495782568	0.49034926470588236	1.0	1.0	0.0	1.0	0.4951276102088167	0.4791722985149942	0.4684195452129199	0.0008215904235839844	0.007902383804321289	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	5	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.0834927558898926	0.07152891159057617	3.337860107421875e-06	2.384185791015625e-06	First-order LINE	252	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.01746323529411764	0.0	0.01746323529411764	0.0	0.4912683823529412	0.0	0.9825367647058824	0.5	0.0	0.5044042651831248	0.0	-0.5044042651831248	-0.09385377118821288	0.0	1.0177736202057999	0.4912683823529412	1.0	1.0	0.0	1.0	0.49559573481687524	0.4595115160034602	0.45355369847451604	0.0008215904235839844	0.007902383804321289	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	5	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.0834927558898926	0.07152891159057617	3.337860107421875e-06	2.384185791015625e-06	First-order LINE	252	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.01930147058823528	0.0	0.01930147058823528	0.0	0.49034926470588236	0.0	0.9806985294117647	0.5	0.0	0.5048723897911833	0.0	-0.5048723897911833	-0.09871565013900573	0.0	1.0196813495782568	0.49034926470588236	1.0	1.0	0.0	1.0	0.4951276102088167	0.4791722985149942	0.4684195452129199	0.0006811618804931641	0.006685972213745117	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	5	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.0834927558898926	0.07152891159057617	3.337860107421875e-06	2.384185791015625e-06	First-order LINE	252	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.01746323529411764	0.0	0.01746323529411764	0.0	0.4912683823529412	0.0	0.9825367647058824	0.5	0.0	0.5044042651831248	0.0	-0.5044042651831248	-0.09385377118821288	0.0	1.0177736202057999	0.4912683823529412	1.0	1.0	0.0	1.0	0.49559573481687524	0.4595115160034602	0.45355369847451604	0.0006811618804931641	0.006685972213745117	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	5	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.0834927558898926	0.07152891159057617	3.337860107421875e-06	2.384185791015625e-06	First-order LINE	252	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
