	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	informedness	positive_likelyhood_ratio	fall_out	diagnostic_odds_ratio	accuracy	recall	specificity	prevalence	threat_score	false_omission_rate	f1_score	markedness	matthews_correlation_coefficient	precision	negative_likelyhood_ratio	balanced_accuracy	false_discovery_rate	miss_rate	fowlkes_mallows_index	prevalence_threshold	negative_predictive_value	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')	('features_parameters', 'random_state')	('features_parameters', 'embedding_size')	('features_parameters', 'epochs')	('features_parameters', 'learning_rate')	('features_parameters', 'learning_rate_decay')	('features_parameters', 'avoid_false_negatives')	('features_parameters', 'use_scale_free_distribution')	('features_parameters', 'node_embedding_path')	('features_parameters', 'dtype')	('features_parameters', 'verbose')	('features_parameters', 'contextual_node_embedding_path')	('features_parameters', 'clipping_value')	('features_parameters', 'number_of_negative_samples')	('features_parameters', 'walk_length')	('features_parameters', 'iterations')	('features_parameters', 'window_size')	('features_parameters', 'max_neighbours')	('features_parameters', 'central_nodes_embedding_path')	('features_parameters', 'contextual_nodes_embedding_path')	('features_parameters', 'normalize_by_degree')	('features_parameters', 'stochastic_downsample_by_degree')	('features_parameters', 'normalize_learning_rate_by_degree')	('features_parameters', 'return_weight')	('features_parameters', 'explore_weight')
0	train	0.001620319119467757	1.0	True	False	-0.021752450980392135	0.0	0.021752450980392135	0.0	0.48912377450980393	0.0	0.9782475490196079	0.5	0.0	0.5054979092457798	0.0	-0.5054979092457798	-0.10486094836286547	0.0	1.0222361415596617	0.48912377450980393	1.0	1.0	0.0	1.0	0.49450209075422025	0.4803141557634083	0.4678939826152939	0.0008256435394287109	0.010241270065307617	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.0243816375732422	0.07778716087341309	3.337860107421875e-06	2.384185791015625e-06	First-order LINE	42	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.02113970588235292	0.0	0.02113970588235292	0.0	0.48943014705882354	0.0	0.9788602941176471	0.5	0.0	0.5053413841151881	0.0	-0.5053413841151881	-0.10335747786384984	0.0	1.0215962441314554	0.48943014705882354	1.0	1.0	0.0	1.0	0.49465861588481186	0.47846324881055363	0.4660916735900205	0.0008256435394287109	0.010241270065307617	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.0243816375732422	0.07778716087341309	3.337860107421875e-06	2.384185791015625e-06	First-order LINE	42	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.021752450980392135	0.0	0.021752450980392135	0.0	0.48912377450980393	0.0	0.9782475490196079	0.5	0.0	0.5054979092457798	0.0	-0.5054979092457798	-0.10486094836286547	0.0	1.0222361415596617	0.48912377450980393	1.0	1.0	0.0	1.0	0.49450209075422025	0.4803141557634083	0.4678939826152939	0.0007643699645996094	0.006371021270751953	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.0243816375732422	0.07778716087341309	3.337860107421875e-06	2.384185791015625e-06	First-order LINE	42	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.02113970588235292	0.0	0.02113970588235292	0.0	0.48943014705882354	0.0	0.9788602941176471	0.5	0.0	0.5053413841151881	0.0	-0.5053413841151881	-0.10335747786384984	0.0	1.0215962441314554	0.48943014705882354	1.0	1.0	0.0	1.0	0.49465861588481186	0.47846324881055363	0.4660916735900205	0.0007643699645996094	0.006371021270751953	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.0243816375732422	0.07778716087341309	3.337860107421875e-06	2.384185791015625e-06	First-order LINE	42	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.02420343137254899	0.0	0.02420343137254899	0.0	0.4878982843137255	0.0	0.975796568627451	0.5	0.0	0.5061249806171499	0.0	-0.5061249806171499	-0.11067954298017262	0.0	1.0248037676609105	0.4878982843137255	1.0	1.0	0.0	1.0	0.49387501938285006	0.4840539846453287	0.4658750385485995	0.0008070468902587891	0.009714603424072266	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.1289515495300293	0.07925677299499512	1.1444091796875e-05	8.344650268554688e-06	First-order LINE	84	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.02113970588235292	0.0	0.02113970588235292	0.0	0.48943014705882354	0.0	0.9788602941176471	0.5	0.0	0.5053413841151881	0.0	-0.5053413841151881	-0.10335747786384984	0.0	1.0215962441314554	0.48943014705882354	1.0	1.0	0.0	1.0	0.49465861588481186	0.4702689094939446	0.4630971272328849	0.0008070468902587891	0.009714603424072266	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.1289515495300293	0.07925677299499512	1.1444091796875e-05	8.344650268554688e-06	First-order LINE	84	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.02420343137254899	0.0	0.02420343137254899	0.0	0.4878982843137255	0.0	0.975796568627451	0.5	0.0	0.5061249806171499	0.0	-0.5061249806171499	-0.11067954298017262	0.0	1.0248037676609105	0.4878982843137255	1.0	1.0	0.0	1.0	0.49387501938285006	0.4840539846453287	0.4658750385485995	0.0008251667022705078	0.006438255310058594	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.1289515495300293	0.07925677299499512	1.1444091796875e-05	8.344650268554688e-06	First-order LINE	84	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.02113970588235292	0.0	0.02113970588235292	0.0	0.48943014705882354	0.0	0.9788602941176471	0.5	0.0	0.5053413841151881	0.0	-0.5053413841151881	-0.10335747786384984	0.0	1.0215962441314554	0.48943014705882354	1.0	1.0	0.0	1.0	0.49465861588481186	0.4702689094939446	0.4630971272328849	0.0008251667022705078	0.006438255310058594	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.1289515495300293	0.07925677299499512	1.1444091796875e-05	8.344650268554688e-06	First-order LINE	84	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.001620319119467757	1.0	True	False	-0.021446078431372584	0.0	0.021446078431372584	0.0	0.4892769607843137	0.0	0.9785539215686274	0.5	0.0	0.5054196345617838	0.0	-0.5054196345617838	-0.10411181068239898	0.0	1.0219160926737634	0.4892769607843137	1.0	1.0	0.0	1.0	0.49458036543821615	0.4786779160959727	0.4667975289826448	0.0007922649383544922	0.006937742233276367	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.115175724029541	0.07166743278503418	3.0994415283203125e-06	2.384185791015625e-06	First-order LINE	126	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.001620319119467757	1.0	True	False	-0.018382352941176516	0.0	0.018382352941176516	0.0	0.49080882352941174	0.0	0.9816176470588235	0.5	0.0	0.5046382189239332	0.0	-0.5046382189239332	-0.09631426606617756	0.0	1.0187265917602997	0.49080882352941174	1.0	1.0	0.0	1.0	0.49536178107606677	0.47613335315743943	0.4719255050308533	0.0007922649383544922	0.006937742233276367	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		4.124641418457031e-05	2.384185791015625e-06	2.6226043701171875e-06	1.115175724029541	0.07166743278503418	3.0994415283203125e-06	2.384185791015625e-06	First-order LINE	126	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
