	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	f1_score	specificity	diagnostic_odds_ratio	fall_out	prevalence_threshold	miss_rate	recall	negative_predictive_value	negative_likelyhood_ratio	balanced_accuracy	precision	false_discovery_rate	positive_likelyhood_ratio	matthews_correlation_coefficient	false_omission_rate	fowlkes_mallows_index	prevalence	accuracy	informedness	markedness	threat_score	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')
0	train	0.001620319119467757	1.0	True	False	0.9911934406316428	0.9822303921568627	inf	0.017769607843137303	0.11762320290342769	0.0	1.0	1.0	0.0	0.9911151960784313	0.9825406381697772	0.017459361830222786	56.27586206896537	0.9823855029160163	0.0	0.9912318791129436	0.5	0.9911151960784313	0.9822303921568627	0.9825406381697772	0.9825406381697772	0.9921967925497405	0.972369900681574	3.942080020904541	0.005728483200073242	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.7978142076502732	0.9889705882352942	182.8398510242092	0.011029411764705843	0.11364188252699249	0.3290441176470589	0.6709558823529411	0.7503486750348675	0.33271375464684017	0.8299632352941176	0.9838274932614556	0.016172506738544423	60.83333333333354	0.6960619854106289	0.2496513249651325	0.8124683648144845	0.5	0.8299632352941176	0.6599264705882353	0.734176168296323	0.6636363636363637	0.9760885799632353	0.9642562237368489	3.942080020904541	0.005728483200073242	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	3.91939640045166	0.008232355117797852	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.91939640045166	0.008232355117797852	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	3.7095422744750977	0.008125066757202148	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.7095422744750977	0.008125066757202148	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	3.79838490486145	0.006036281585693359	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.79838490486145	0.006036281585693359	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.5250790781744239	1.0	inf	0.0	0.0	0.6439950980392157	0.3560049019607843	0.6082743197912784	0.6439950980392157	0.6780024509803921	1.0	0.0	inf	0.46534786942948053	0.39172568020872156	0.5966614634453815	0.5	0.6780024509803921	0.35600490196078427	0.6082743197912786	0.3560049019607843	0.9999616095672338	0.9996526232473498	3.800436496734619	0.004964351654052734	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.800436496734619	0.004964351654052734	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.200387716293335	5.173683166503906e-05	3.4809112548828125e-05	2.86102294921875e-06		84	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.9933049300060864	0.9865196078431373	inf	0.013480392156862697	0.10402702392374653	0.0	1.0	1.0	0.0	0.9932598039215687	0.9866989117291415	0.013301088270858519	74.18181818181844	0.9866092557128597	0.0	0.9933271926858448	0.5	0.9932598039215687	0.9865196078431373	0.9866989117291416	0.9866989117291415	0.9943149307057382	0.986618367489732	3.5972936153411865	0.006725311279296875	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.779510022271715	0.9926470588235294	243.55670103092874	0.007352941176470562	0.0965796932593623	0.3566176470588235	0.6433823529411765	0.7356948228882834	0.3592592592592592	0.818014705882353	0.9887005649717514	0.011299435028248594	87.50000000000031	0.6787759368345964	0.26430517711171664	0.7975666090338762	0.5	0.8180147058823529	0.6360294117647061	0.7243953878600347	0.6386861313868614	0.9799779344182526	0.9760861729600165	3.5972936153411865	0.006725311279296875	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	4.087919235229492	0.007569551467895508	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	4.087919235229492	0.007569551467895508	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	3.7557241916656494	0.004840373992919922	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.7557241916656494	0.004840373992919922	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	3.942706823348999	0.0037882328033447266	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.942706823348999	0.0037882328033447266	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.5759162303664922	1.0	inf	0.0	0.0	0.5955882352941176	0.40441176470588236	0.6267281105990783	0.5955882352941176	0.7022058823529411	1.0	0.0	inf	0.5034443575988876	0.37327188940092165	0.6359337738364604	0.5	0.7022058823529411	0.40441176470588225	0.6267281105990783	0.40441176470588236	0.9992969576004421	0.9986505645805338	3.3497300148010254	0.00537872314453125	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.3497300148010254	0.00537872314453125	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.0728974342346191	1.239776611328125e-05	6.198883056640625e-06	2.6226043701171875e-06		126	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.9939098660170523	0.9877450980392157	inf	0.01225490196078427	0.09966838501872158	0.0	1.0	1.0	0.0	0.9938725490196079	0.9878934624697336	0.01210653753026636	81.60000000000029	0.9878192774690456	0.0	0.9939282984550413	0.5	0.9938725490196079	0.9877450980392157	0.9878934624697338	0.9878934624697336	0.9952038241001058	0.9885905150203917	3.5294601917266846	0.01142430305480957	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.055917739868164	3.647804260253906e-05	1.1205673217773438e-05	1.9073486328125e-06		168	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
