	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	f1_score	specificity	diagnostic_odds_ratio	fall_out	prevalence_threshold	miss_rate	recall	negative_predictive_value	negative_likelyhood_ratio	balanced_accuracy	precision	false_discovery_rate	positive_likelyhood_ratio	matthews_correlation_coefficient	false_omission_rate	fowlkes_mallows_index	prevalence	accuracy	informedness	markedness	threat_score	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')
0	train	0.001620319119467757	1.0	True	False	0.9951219512195122	0.9901960784313726	inf	0.009803921568627416	0.09009410830061448	0.0	1.0	1.0	0.0	0.9950980392156863	0.9902912621359223	0.009708737864077666	102.00000000000037	0.9902436691399974	0.0	0.995133791073302	0.5	0.9950980392156863	0.9901960784313726	0.9902912621359223	0.9902912621359223	0.9955679230944829	0.9886371612139665	4.0538694858551025	0.010280132293701172	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.8078175895765473	0.9908088235294118	233.14883720930317	0.009191176470588203	0.10389023789017872	0.3161764705882353	0.6838235294117647	0.7580872011251758	0.3191094619666048	0.8373161764705883	0.986737400530504	0.01326259946949604	74.40000000000026	0.7088601932281469	0.2419127988748242	0.8214342650713807	0.5	0.8373161764705882	0.6746323529411766	0.7448246016556799	0.6775956284153005	0.9807044428525087	0.9800206668568128	4.0538694858551025	0.010280132293701172	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	3.6937599182128906	0.009648799896240234	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.6937599182128906	0.009648799896240234	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	3.652212619781494	0.011298418045043945	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	3.652212619781494	0.011298418045043945	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9996936274509803	4.185792446136475	0.010900735855102539	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	4.185792446136475	0.010900735855102539	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.001620319119467757	1.0	True	False	0.5150136487716106	1.0	inf	0.0	0.0	0.6531862745098039	0.34681372549019607	0.6048925129725723	0.6531862745098039	0.673406862745098	1.0	0.0	inf	0.458022953513407	0.3951074870274277	0.5889089280102621	0.5	0.6734068627450981	0.34681372549019596	0.6048925129725724	0.34681372549019607	0.9999729671280276	0.9996653358816543	4.317613840103149	0.007273674011230469	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.001620319119467757	1.0	True	False	0.0	1.0		0.0		1.0	0.0	0.5	1.0	0.5					0.5		0.5	0.5	0.0		0.0	1.0	0.9990808823529411	4.317613840103149	0.007273674011230469	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	True	48	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		2.193450927734375e-05	5.245208740234375e-06	3.0994415283203125e-06	1.1397349834442139	1.52587890625e-05	4.291534423828125e-06	3.337860107421875e-06		42	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
