,methods,mode,evaluation,balanced_acc.mean,balanced_acc.sem,FDR.mean,FDR.sem,MCC.mean,MCC.sem,F1.mean,F1.sem,AUROC.mean,AUROC.sem,AUPRC.mean,AUPRC.sem,approach
0,DeepWalk CBOW,test,DANS,0.8222631364552474,0.0006859263154875702,0.14972517654531628,0.0008536190639963816,0.6472326413008443,0.0013399499050818938,0.8147729698804019,0.0008022391073359442,0.8891218278989577,0.0004893819967896248,0.8759251788366451,0.0007538696414028873,DANS (test)
1,DeepWalk CBOW,test,UNS,0.8540458958427327,0.0009231466172729072,0.08734028885954583,0.001203573897564938,0.7158407144847906,0.0018257842549127244,0.8428168572592546,0.0010381644303554208,0.921658796960222,0.000819993127248994,0.9189863308498527,0.0005082020310568414,UNS (test)
2,DeepWalk CBOW,train,DANS,0.8746672183521198,0.0013998438591739516,0.13523454898964132,0.0009604315114656144,0.7508395145336966,0.0028267795945906313,0.8755548575480185,0.001489808328547251,0.9339642775413396,0.000881229975233162,0.9129278394246713,0.0005107816085335887,DANS (train)
3,DeepWalk CBOW,train,UNS,0.9062455141024814,0.001618280884962871,0.07898650102203858,0.0012096664323873354,0.8138012796138926,0.0031909859992139667,0.9037707117456294,0.0017199675089610714,0.95588789588176,0.0010145519850951737,0.9454685054578825,0.00048764975199286765,UNS (train)
4,DeepWalk SkipGram,test,DANS,0.8662641931588596,0.0007292028897075514,0.11113888952906863,0.0008761327886418458,0.7358767292185385,0.0012615516678051648,0.8616344857630767,0.0010183536045933203,0.9123874524320053,0.0005119991535368934,0.8693570700933017,0.0009076018457865101,DANS (test)
5,DeepWalk SkipGram,test,UNS,0.8953456491419517,0.0015333340255825687,0.05539126408372875,0.0012970888030412891,0.7962071245246602,0.0029536857605892515,0.8884277876345796,0.001740201606448026,0.9449928835898963,0.0013517341678209753,0.9329413541592102,0.0016399115279300991,UNS (test)
6,DeepWalk SkipGram,train,DANS,0.9168372835368885,0.0006338271898001927,0.10060903311442751,0.0008562969390169002,0.8368874993698352,0.001257516659459431,0.9182495077895688,0.0007474680660051776,0.9484776190534996,0.0005519025761820977,0.899712132187315,0.0007938966404499945,DANS (train)
7,DeepWalk SkipGram,train,UNS,0.9458861992902049,0.00141034300893739,0.04965189032807892,0.00116305196097253,0.8923795888317132,0.002784394847343397,0.9451957664471071,0.0014665423980932727,0.9721578696080746,0.0009853697947718534,0.9521205347426436,0.001344738630998607,UNS (train)
8,First-order LINE,test,DANS,0.872510919829492,0.0007915779794661287,0.13138241923731253,0.0019054623203968069,0.7473217041614654,0.0015396120185528046,0.874347735776704,0.0005892966709477142,0.9415319079345221,0.00045592137940674254,0.9456894287702583,0.0004311442009602318,DANS (test)
9,First-order LINE,test,UNS,0.9145994654252504,0.00036010521212664437,0.057104673111579414,0.00010378203298697473,0.8310550547272741,0.0006776181733463471,0.9116790670724938,0.0004099251541248347,0.9613838169712642,0.0002521898155016709,0.9676846385972192,0.0001967304851902154,UNS (test)
10,First-order LINE,train,DANS,0.8965523236587881,0.0009061163169791698,0.1257902092586471,0.0018618640842626758,0.7968002309779675,0.001661208789257519,0.9006018991038852,0.0007367167224561204,0.9639152423836265,0.0003547293028026516,0.9622034482751219,0.0003911308606200117,DANS (train)
11,First-order LINE,train,UNS,0.9386488366438298,0.0002431110626141662,0.05428823410057326,9.51187804945265e-05,0.8775069618735957,0.00047800180211732046,0.9381144905627807,0.0002635948442277326,0.9813752148640146,0.00017139997018541752,0.9817882338631246,0.0001314388470946122,UNS (train)
12,HOPE,test,DANS,0.8176696884141573,0.00043913372092297754,0.10231464203795866,0.001625738221662571,0.6509054519784138,0.00045939729807373405,0.7971649129094228,0.000940601779054082,0.8975954056107437,0.00030397697061695087,0.906892770610721,0.00033986431714659495,DANS (test)
13,HOPE,test,UNS,0.8549346236618163,0.001377920731698149,0.01569610807264031,0.00036988699645432415,0.7375447160692632,0.002142791471013387,0.8311676692504868,0.0019275352169785917,0.9334130408241588,0.0006549582492843496,0.9535566062712525,0.0003220318628878682,UNS (test)
14,HOPE,train,DANS,0.8232206971567378,0.0003774125476448405,0.10112270182906215,0.001624034668213358,0.6606652092640127,0.0003919386263656796,0.8046915575122819,0.0008331917842407538,0.9130087346097825,0.00017385056394707033,0.9156603280777784,0.0004031248855417457,DANS (train)
15,HOPE,train,UNS,0.860611741486894,0.0013004695190867652,0.015492908251366306,0.0003678501645300955,0.7468960504281662,0.0020312028505265747,0.8389380552205437,0.0017945558806206207,0.9582540377792654,0.00036662040689332834,0.9660388091849146,0.0001672430523988162,UNS (train)
16,Second-order LINE,test,DANS,0.8623867466123555,0.0010682862605885452,0.1384460243626966,0.0024548120097043955,0.7282629647337718,0.0020908748469102385,0.8645893372356585,0.0007919589059398965,0.9348761625019723,0.0006133885353334343,0.9414056072490755,0.0005667047964286649,DANS (test)
17,Second-order LINE,test,UNS,0.9141167703904605,0.0003382845906790767,0.04725092426963447,0.00023610652758038536,0.8315610478073164,0.0005956690711974661,0.9101568828287903,0.00040856035605838913,0.959708026148084,0.0002524991999593949,0.9682096204710152,0.0001770990204040638,UNS (test)
18,Second-order LINE,train,DANS,0.885007468597986,0.0014613547203223426,0.13368461364685372,0.002466191874255936,0.7736296230645316,0.0027777446283050737,0.8897289112614069,0.001245355294231173,0.9565357282890892,0.000690161164684286,0.9561786666548735,0.000692523290908356,DANS (train)
19,Second-order LINE,train,UNS,0.9367965105319643,7.958540401749458e-05,0.04507908836031835,0.00026039359279005656,0.8743304599247845,0.00016847488412674607,0.9355223405831176,7.381852480421228e-05,0.9813520972572204,7.600089701908406e-05,0.9826413760391551,3.413557549529846e-05,UNS (train)
