,features_names,evaluation_negative_sampling_method,model_negative_examples,accuracy,fall_out,informedness,miss_rate,balanced_accuracy,threat_score,false_discovery_rate,fowlkes_mallows_index,precision,recall,specificity,f1_score,auroc,auprc
16,Walklets CBOW,DANS,DANS,0.833969465648855,0.1352235550708833,0.66793893129771,0.1968375136314067,0.833969465648855,0.707492795389049,0.1441022661243463,0.8291109407171121,0.8558977338756537,0.8031624863685932,0.8647764449291166,0.8286919831223629,0.9158083736379,0.8831896333809168
17,Walklets CBOW,DANS,DANS,0.6104746317512275,0.1391162029459901,0.220949263502455,0.6399345335515548,0.6104746317512275,0.3160919540229885,0.2786885245901639,0.5096266798824987,0.7213114754098361,0.3600654664484451,0.8608837970540099,0.4803493449781659,0.6911766281564659,0.6846607112445038
22,First-order LINE,UNS,UNS,0.8127044711014176,0.1548527808069792,0.6254089422028355,0.2197382769901853,0.8127044711014177,0.6756373937677054,0.1655976676384839,0.8068780586506269,0.8344023323615161,0.7802617230098147,0.8451472191930207,0.8064243448858833,0.8831804792309091,0.9040103593095092
23,First-order LINE,UNS,UNS,0.7749590834697218,0.1636661211129296,0.5499181669394435,0.2864157119476268,0.7749590834697218,0.6132208157524613,0.1865671641791044,0.7618745900918843,0.8134328358208955,0.7135842880523732,0.8363338788870703,0.7602441150828247,0.8231388001210754,0.8627377466022739
24,Walklets GloVe,UNS,DANS,0.5346237731733915,0.5152671755725191,0.0692475463467829,0.4154852780806979,0.5346237731733915,0.3857502698812523,0.4685176003966287,0.557368179042514,0.5314823996033713,0.5845147219193021,0.4847328244274809,0.5567385094780577,0.5389629308981329,0.4949918458321615
25,Walklets GloVe,UNS,DANS,0.4893617021276595,0.5237315875613748,-0.0212765957446807,0.497545008183306,0.4893617021276596,0.3297529538131042,0.5103668261562999,0.496002653578404,0.4896331738437001,0.502454991816694,0.4762684124386252,0.4959612277867528,0.4790294411511809,0.4592503969888865
28,DeepWalk GloVe,DANS,DANS,0.8328789531079608,0.1221374045801526,0.6657579062159216,0.2121046892039259,0.8328789531079608,0.7021379980563655,0.1342121030557219,0.825923860986224,0.865787896944278,0.7878953107960741,0.8778625954198473,0.8250071367399372,0.9234717661903056,0.9184964367321332
29,DeepWalk GloVe,DANS,DANS,0.5531914893617021,0.1211129296235679,0.1063829787234043,0.7725040916530278,0.5531914893617021,0.2029197080291971,0.3474178403755869,0.3853047769945042,0.6525821596244131,0.2274959083469721,0.8788870703764321,0.337378640776699,0.5820781579391462,0.5918518045257036
30,DeepWalk GloVe,DANS,DANS,0.8375136314067612,0.1128680479825517,0.6750272628135223,0.2121046892039259,0.8375136314067612,0.7079862812346889,0.1253026634382567,0.8301625924135663,0.8746973365617433,0.7878953107960741,0.8871319520174482,0.8290304073436604,0.9235089292403634,0.9187667879837564
31,DeepWalk GloVe,DANS,DANS,0.5368248772504092,0.1227495908346971,0.0736497545008183,0.8036006546644845,0.5368248772504092,0.1749271137026239,0.3846153846153846,0.347650881763712,0.6153846153846154,0.1963993453355155,0.8772504091653028,0.2977667493796526,0.5654543944755318,0.5638421526143955
32,First-order LINE,UNS,DANS,0.6540348964013086,0.3418756815703381,0.308069792802617,0.3500545256270447,0.6540348964013085,0.4843559528646891,0.3446948873007146,0.6526197915573507,0.6553051126992854,0.6499454743729552,0.6581243184296619,0.6526142896249658,0.7149698117111771,0.7128882428769147
33,First-order LINE,UNS,DANS,0.5834697217675942,0.3355155482815057,0.1669394435351883,0.497545008183306,0.5834697217675942,0.3762254901960784,0.400390625,0.5488868040031915,0.599609375,0.502454991816694,0.6644844517184942,0.5467497773820125,0.6154462245627758,0.6227874629292894
38,Second-order LINE,UNS,UNS,0.9571973827699018,0.0539803707742638,0.9143947655398036,0.0316248636859324,0.9571973827699018,0.9187790998448008,0.0527999999999999,0.9577290478609723,0.9472,0.9683751363140676,0.946019629225736,0.9576705311404692,0.9904829888368144,0.990626853596147
39,Second-order LINE,UNS,UNS,0.94189852700491,0.0654664484451718,0.8837970540098201,0.0507364975450082,0.94189852700491,0.890937019969278,0.0645161290322581,0.9423485002083848,0.935483870967742,0.9492635024549918,0.9345335515548282,0.942323314378554,0.9872040415620872,0.9857871184972646
42,DeepWalk SkipGram,UNS,UNS,0.9820065430752454,0.0212649945474372,0.9640130861504908,0.014721919302072,0.9820065430752454,0.9647624132407902,0.0211267605633802,0.9820704387154092,0.9788732394366196,0.985278080697928,0.9787350054525628,0.9820652173913044,0.9963218242835856,0.9865768159561504
43,DeepWalk SkipGram,UNS,UNS,0.9361702127659576,0.0261865793780687,0.8723404255319149,0.1014729950900164,0.9361702127659576,0.8755980861244019,0.0283185840707964,0.9343885660588744,0.9716814159292037,0.8985270049099836,0.9738134206219312,0.9336734693877552,0.9781468227075358,0.9687653776587116
46,DeepWalk SkipGram,DANS,UNS,0.7156488549618321,0.5507088331515813,0.4312977099236641,0.0179934569247546,0.7156488549618321,0.6332630098452883,0.359302739238705,0.7932016781361335,0.640697260761295,0.9820065430752454,0.4492911668484187,0.7754574811625403,0.8135072673087649,0.7355979105725595
47,DeepWalk SkipGram,DANS,UNS,0.6939443535188216,0.5122749590834696,0.3878887070376433,0.099836333878887,0.6939443535188217,0.5952380952380952,0.3626882966396292,0.757419856723312,0.6373117033603708,0.900163666121113,0.4877250409165303,0.746268656716418,0.7502913042663016,0.6766967222419672
48,Walklets GloVe,DANS,DANS,0.531897491821156,0.520174482006543,0.0637949836423119,0.416030534351145,0.531897491821156,0.3841463414634146,0.4711111111111111,0.5557472103682223,0.5288888888888889,0.583969465648855,0.4798255179934569,0.5550660792951542,0.5404735345568796,0.5172405617653386
49,Walklets GloVe,DANS,DANS,0.502454991816694,0.497545008183306,0.0049099836333879,0.497545008183306,0.502454991816694,0.3355191256830601,0.497545008183306,0.502454991816694,0.502454991816694,0.502454991816694,0.502454991816694,0.502454991816694,0.4997013294189183,0.4833716247995839
52,DeepWalk CBOW,DANS,DANS,0.7080152671755725,0.2197382769901853,0.4160305343511452,0.3642311886586695,0.7080152671755726,0.5212337952615109,0.2568514977692798,0.6873649975910288,0.7431485022307202,0.6357688113413305,0.7802617230098147,0.6852776961504555,0.7741211979226746,0.7858686469353915
53,DeepWalk CBOW,DANS,DANS,0.563011456628478,0.1996726677577741,0.1260229132569557,0.67430441898527,0.5630114566284778,0.2714870395634379,0.3800623052959502,0.4493450430009969,0.6199376947040498,0.3256955810147299,0.8003273322422259,0.4270386266094421,0.6002635801361295,0.5786826668822472
58,Walklets GloVe,DANS,UNS,0.549618320610687,0.4781897491821155,0.0992366412213741,0.4225736095965103,0.549618320610687,0.3906307635558834,0.452995867768595,0.5620094497516686,0.547004132231405,0.5774263904034896,0.5218102508178845,0.5618037135278514,0.54802395143711,0.5247517644276334
59,Walklets GloVe,DANS,UNS,0.5,0.4795417348608838,0.0,0.5204582651391162,0.5,0.3241150442477876,0.5,0.4896640352634058,0.5,0.4795417348608838,0.5204582651391162,0.4895572263993316,0.5088837756247304,0.4898278984264106
60,HOPE,UNS,DANS,0.3876772082878953,0.9269356597600872,-0.2246455834242093,0.2977099236641222,0.3876772082878953,0.3644595359366157,0.5689424364123159,0.5502067331804947,0.431057563587684,0.7022900763358778,0.0730643402399127,0.5342181667357943,0.6402540941788988,0.7683883122351106
61,HOPE,UNS,DANS,0.339607201309329,0.9328968903436988,-0.320785597381342,0.3878887070376432,0.339607201309329,0.3166807790008467,0.603813559322034,0.4924532408843949,0.3961864406779661,0.6121112929623568,0.0671031096563011,0.4810289389067524,0.4701235665821103,0.6500750656103371
62,HOPE,UNS,DANS,0.943565976008724,0.0190839694656488,0.8871319520174481,0.0937840785169029,0.943565976008724,0.8892455858747994,0.0206246317030053,0.9420857454919422,0.9793753682969948,0.906215921483097,0.9809160305343512,0.9413763806287172,0.98941804447436,0.9900625139527264
63,HOPE,UNS,DANS,0.8216039279869067,0.0261865793780687,0.6432078559738135,0.3306055646481178,0.8216039279869067,0.6523125996810207,0.0376470588235293,0.8026167850649815,0.9623529411764706,0.6693944353518821,0.9738134206219312,0.7895752895752896,0.8881070178211244,0.9221047479479116
64,Second-order LINE,DANS,DANS,0.6990185387131952,0.272082878953108,0.3980370774263904,0.3298800436205016,0.6990185387131952,0.5267895413630519,0.2887731481481481,0.6903675158485449,0.7112268518518519,0.6701199563794984,0.727917121046892,0.6900617630544638,0.7647956507933865,0.7472936156846779
65,Second-order LINE,DANS,DANS,0.6145662847790507,0.2667757774140753,0.2291325695581014,0.5040916530278232,0.6145662847790507,0.3914728682170542,0.3497854077253218,0.5678440310790662,0.6502145922746781,0.4959083469721768,0.7332242225859247,0.5626740947075209,0.6738865480377477,0.6835246960722888
68,Degree,UNS,DANS,0.7938931297709924,0.0,0.5877862595419847,0.4122137404580153,0.7938931297709924,0.5877862595419847,0.0,0.7666721982320637,1.0,0.5877862595419847,1.0,0.7403846153846154,0.999434824334722,0.9991210132770936
69,Degree,UNS,DANS,0.7970540098199672,0.0016366612111292,0.5941080196399344,0.4042553191489362,0.7970540098199672,0.5947712418300654,0.0027397260273972,0.7707869379038883,0.9972602739726028,0.5957446808510638,0.9983633387888708,0.7459016393442623,0.995765708331436,0.9952904943043888
70,Degree,UNS,DANS,0.9517448200654308,0.0010905125408942,0.9034896401308616,0.0954198473282442,0.9517448200654308,0.90359477124183,0.0012040939193257,0.9505214112319516,0.9987959060806744,0.9045801526717556,0.9989094874591058,0.9493562231759656,0.9994358649001236,0.9991219939393456
71,Degree,UNS,DANS,0.9402618657937808,0.0040916530278232,0.8805237315875614,0.1153846153846154,0.9402618657937808,0.8810105949470253,0.0046040515653775,0.93837229806143,0.9953959484346224,0.8846153846153846,0.9959083469721768,0.936741767764298,0.9953297564294534,0.9919772638298224
72,AdamicAdar,UNS,DANS,0.4580152671755725,1.0,-0.0839694656488549,0.0839694656488549,0.4580152671755725,0.4580152671755725,0.5219123505976095,0.6617725326339516,0.4780876494023904,0.916030534351145,0.0,0.6282722513089005,0.8117206908402893,0.8028449072265553
73,AdamicAdar,UNS,DANS,0.4639934533551554,1.0,-0.072013093289689,0.072013093289689,0.4639934533551554,0.4639934533551554,0.5186757215619695,0.6683282339332077,0.4813242784380305,0.9279869067103108,0.0,0.6338736724427054,0.8124234907760346,0.7976452862501165
74,AdamicAdar,UNS,DANS,0.5637949836423118,0.0005452562704471,0.1275899672846236,0.8718647764449291,0.5637949836423118,0.1280653950953678,0.0042372881355932,0.3572006126710162,0.9957627118644068,0.1281352235550708,0.9994547437295528,0.2270531400966183,0.999075680618964,0.997910958138916
75,AdamicAdar,UNS,DANS,0.560556464811784,0.0032733224222586,0.1211129296235677,0.8756137479541735,0.5605564648117839,0.1239804241435562,0.0256410256410256,0.348133395364088,0.9743589743589745,0.1243862520458265,0.9967266775777414,0.2206095791001451,0.9948415706590308,0.9896196145415248
76,JaccardCoefficient,UNS,DANS,0.4501090512540894,0.9994547437295528,-0.0997818974918212,0.1003271537622683,0.4501090512540894,0.4499590946277611,0.5262704565030146,0.6528411803377864,0.4737295434969854,0.8996728462377317,0.0005452562704471,0.6206507429001317,0.8117501983020351,0.8023818326570881
77,JaccardCoefficient,UNS,DANS,0.4500818330605565,0.9967266775777414,-0.099836333878887,0.1031096563011456,0.4500818330605565,0.4491803278688525,0.5263612791702679,0.6517683600130219,0.4736387208297321,0.8968903436988543,0.0032733224222585,0.6199095022624435,0.812859442678017,0.7984100484107152
78,JaccardCoefficient,UNS,DANS,0.5637949836423118,0.0005452562704471,0.1275899672846236,0.8718647764449291,0.5637949836423118,0.1280653950953678,0.0042372881355932,0.3572006126710162,0.9957627118644068,0.1281352235550708,0.9994547437295528,0.2270531400966183,0.9990377743079052,0.9974844975914188
79,JaccardCoefficient,UNS,DANS,0.560556464811784,0.0032733224222586,0.1211129296235677,0.8756137479541735,0.5605564648117839,0.1239804241435562,0.0256410256410256,0.348133395364088,0.9743589743589745,0.1243862520458265,0.9967266775777414,0.2206095791001451,0.9944578526254884,0.9786241836667342
80,ResourceAllocationIndex,UNS,DANS,0.4746455834242093,1.0,-0.0507088331515812,0.0507088331515812,0.4746455834242093,0.4746455834242093,0.5130069930069929,0.6799251134172143,0.486993006993007,0.9492911668484189,0.0,0.6437419116287668,0.8117079067510694,0.8022472002594809
81,ResourceAllocationIndex,UNS,DANS,0.4779050736497545,1.0,-0.044189852700491,0.044189852700491,0.4779050736497545,0.4779050736497545,0.5112970711297071,0.6834524258711911,0.4887029288702929,0.955810147299509,0.0,0.646733111849391,0.8124248301059945,0.7976760416012643
82,ResourceAllocationIndex,UNS,DANS,0.5637949836423118,0.0005452562704471,0.1275899672846236,0.8718647764449291,0.5637949836423118,0.1280653950953678,0.0042372881355932,0.3572006126710162,0.9957627118644068,0.1281352235550708,0.9994547437295528,0.2270531400966183,0.999075680618964,0.997910958138916
83,ResourceAllocationIndex,UNS,DANS,0.560556464811784,0.0032733224222586,0.1211129296235677,0.8756137479541735,0.5605564648117839,0.1239804241435562,0.0256410256410256,0.348133395364088,0.9743589743589745,0.1243862520458265,0.9967266775777414,0.2206095791001451,0.9948462583138908,0.9896615935343822
84,PreferentialAttachment,UNS,DANS,0.4800981461286804,1.0,-0.039803707742639,0.039803707742639,0.4800981461286804,0.4800981461286804,0.5101529902642559,0.6858201531900451,0.4898470097357441,0.9601962922573608,0.0,0.6487382575059863,0.0001116378023734,0.3068574584939084
85,PreferentialAttachment,UNS,DANS,0.4852700490998363,1.0,-0.0294599018003273,0.0294599018003273,0.4852700490998363,0.4852700490998363,0.5074750830564785,0.6913864196353231,0.4925249169435216,0.9705400981996728,0.0,0.6534435261707989,0.4641072964017561,0.5197424539236997
86,PreferentialAttachment,UNS,DANS,0.829607415485278,0.0,0.6592148309705561,0.3407851690294439,0.829607415485278,0.6592148309705561,0.0,0.8119204585244518,1.0,0.6592148309705561,1.0,0.7946105816628327,0.9998848688709212,0.9996062671285196
87,PreferentialAttachment,UNS,DANS,0.6031096563011457,0.0,0.2062193126022913,0.7937806873977087,0.6031096563011457,0.2062193126022913,0.0,0.454113766144885,1.0,0.2062193126022913,1.0,0.3419267299864315,0.9855292094470978,0.9837247295227458
90,DeepWalk CBOW,UNS,UNS,0.952835332606325,0.039803707742639,0.90567066521265,0.0545256270447109,0.952835332606325,0.9092815941269008,0.0403984504703929,0.9525117707033488,0.9596015495296072,0.945474372955289,0.9601962922573608,0.9524855808843724,0.9840694639839505,0.9605735042920924
91,DeepWalk CBOW,UNS,UNS,0.886252045826514,0.0474631751227495,0.7725040916530279,0.1800327332242226,0.886252045826514,0.7828125,0.0547169811320754,0.8803982810698165,0.9452830188679244,0.8199672667757774,0.9525368248772504,0.8781770376862401,0.955283120960246,0.9300561763907436
92,Walklets SkipGram,DANS,DANS,0.9048527808069792,0.0528898582333696,0.8097055616139586,0.1374045801526717,0.9048527808069792,0.8192646297255308,0.0577724836212031,0.9015326616836872,0.9422275163787968,0.8625954198473282,0.9471101417666304,0.9006547110731569,0.9423253990716968,0.8966505614075315
93,Walklets SkipGram,DANS,DANS,0.5793780687397708,0.060556464811784,0.1587561374795416,0.7806873977086743,0.5793780687397708,0.2067901234567901,0.216374269005848,0.4145587995529342,0.783625730994152,0.2193126022913257,0.939443535188216,0.3427109974424552,0.5423556403202606,0.603687921160091
98,Second-order LINE,DANS,UNS,0.636041439476554,0.6968375136314068,0.2720828789531078,0.0310796074154853,0.6360414394765539,0.5710154241645244,0.4183306055646481,0.7507272061213035,0.5816693944353519,0.9689203925845148,0.3031624863685932,0.7269380241358151,0.7423089581383512,0.6969052682339295
99,Second-order LINE,DANS,UNS,0.6178396072013094,0.7119476268412439,0.2356792144026187,0.0523731587561374,0.6178396072013094,0.5535372848948374,0.4289940828402366,0.7355953599701817,0.5710059171597633,0.9476268412438624,0.2880523731587561,0.7126153846153847,0.7460148237039974,0.7082305064830378
102,Walklets GloVe,UNS,UNS,0.5387131952017448,0.5,0.0774263904034895,0.4225736095965103,0.5387131952017448,0.3849509269356597,0.4640688259109311,0.556292012668666,0.5359311740890689,0.5774263904034896,0.5,0.5559055118110237,0.5359479669730488,0.4952522558315054
103,Walklets GloVe,UNS,UNS,0.5065466448445172,0.4664484451718494,0.0130932896890343,0.5204582651391162,0.5065466448445172,0.3270089285714285,0.4930795847750865,0.4930410686275075,0.5069204152249135,0.4795417348608838,0.5335515548281505,0.4928511354079058,0.5053372298906303,0.4733168093645636
104,DeepWalk CBOW,UNS,DANS,0.784896401308615,0.0774263904034896,0.5697928026172301,0.3527808069792802,0.784896401308615,0.6007085020242915,0.1068472535741158,0.7603062539437646,0.8931527464258842,0.6472191930207197,0.9225736095965104,0.7505532722099273,0.8741280061934452,0.8901429760552227
105,DeepWalk CBOW,UNS,DANS,0.6292962356792144,0.0621931260229132,0.2585924713584289,0.679214402618658,0.6292962356792144,0.3020030816640986,0.1623931623931623,0.5183552929915988,0.8376068376068376,0.320785597381342,0.9378068739770868,0.463905325443787,0.7292591362393221,0.7424424990301416
110,First-order LINE,DANS,UNS,0.6169574700109052,0.549618320610687,0.2339149400218101,0.2164667393675027,0.6169574700109051,0.5056298381421535,0.4122699386503067,0.6786059617635722,0.5877300613496933,0.7835332606324973,0.4503816793893129,0.6716522551998131,0.6589549869245525,0.6218424808852379
111,First-order LINE,DANS,UNS,0.5810147299509002,0.5515548281505729,0.1620294599018004,0.2864157119476268,0.5810147299509002,0.459915611814346,0.4359637774902976,0.6344189359369217,0.5640362225097024,0.7135842880523732,0.4484451718494271,0.630057803468208,0.6233429140069806,0.608159643044833
112,Walklets SkipGram,UNS,DANS,0.90567066521265,0.0403489640130861,0.8113413304252999,0.1483097055616139,0.90567066521265,0.8186582809224319,0.0452322738386308,0.9017573985361278,0.9547677261613692,0.8516902944383861,0.9596510359869138,0.9002881844380404,0.9390725173001432,0.9369938745000672
113,Walklets SkipGram,UNS,DANS,0.5875613747954174,0.0638297872340425,0.1751227495908347,0.7610474631751227,0.5875613747954174,0.2246153846153846,0.2108108108108107,0.4342565587202164,0.7891891891891892,0.2389525368248772,0.9361702127659576,0.3668341708542713,0.3970838768780754,0.5572650093863508
116,DeepWalk SkipGram,DANS,DANS,0.7208287895310797,0.3609596510359869,0.4416575790621593,0.1973827699018538,0.7208287895310797,0.5897435897435898,0.310215557638238,0.7440651036657959,0.689784442361762,0.8026172300981461,0.6390403489640131,0.7419354838709677,0.7443549326962299,0.670701618700059
117,DeepWalk SkipGram,DANS,DANS,0.6072013093289689,0.3027823240589198,0.2144026186579379,0.4828150572831423,0.607201309328969,0.3969849246231156,0.3692614770459081,0.5711466246624656,0.6307385229540918,0.5171849427168577,0.6972176759410802,0.5683453237410072,0.6146426265867712,0.6025460080578632
122,Walklets CBOW,DANS,UNS,0.8399672846237731,0.3189749182115594,0.6799345692475462,0.0010905125408942,0.8399672846237731,0.7573377428689542,0.2420355812991311,0.8701366840886114,0.7579644187008688,0.9989094874591058,0.6810250817884406,0.8619148435662197,0.9926884672055408,0.9856891674534
123,Walklets CBOW,DANS,UNS,0.6587561374795418,0.2815057283142389,0.3175122749590835,0.4009819967266775,0.6587561374795418,0.4674329501915709,0.3197026022304833,0.6383654038588973,0.6802973977695167,0.5990180032733224,0.7184942716857611,0.6370757180156658,0.6547368082695589,0.598571866253494
126,Walklets CBOW,UNS,UNS,0.997546346782988,0.004907306434024,0.9950926935659758,0.0,0.997546346782988,0.99511665762344,0.0048833423765599,0.9975553406320072,0.99511665762344,1.0,0.995092693565976,0.9975523524612456,0.9998644291933894,0.9995399564105316
127,Walklets CBOW,UNS,UNS,0.8952536824877251,0.0049099836333879,0.7905073649754502,0.204582651391162,0.8952536824877251,0.7915309446254072,0.0061349693251533,0.8891217507037087,0.9938650306748468,0.795417348608838,0.995090016366612,0.8836363636363637,0.9717930413772596,0.978323368313815
128,Second-order LINE,UNS,DANS,0.6627589967284624,0.3391494002181024,0.3255179934569248,0.3353326063249727,0.6627589967284624,0.4963355048859935,0.3378598587724063,0.6634025639966725,0.6621401412275937,0.6646673936750273,0.6608505997818975,0.6634013605442177,0.7274548127041738,0.7188492587253327
129,Second-order LINE,UNS,DANS,0.5761047463175123,0.3404255319148936,0.1522094926350243,0.5073649754500819,0.5761047463175122,0.3675213675213675,0.4086444007858546,0.5397429759956048,0.5913555992141454,0.4926350245499181,0.6595744680851063,0.5375,0.6292600737702942,0.6170251642318628
134,DeepWalk CBOW,DANS,UNS,0.7118320610687023,0.5387131952017448,0.4236641221374047,0.0376226826608505,0.7118320610687023,0.6254429482636428,0.3588812204867417,0.7854923113078314,0.6411187795132582,0.9623773173391494,0.4612868047982552,0.7695661652496185,0.8379391483299222,0.7799230893973489
135,DeepWalk CBOW,DANS,UNS,0.61620294599018,0.5646481178396072,0.23240589198036,0.2029459901800328,0.61620294599018,0.5094142259414226,0.4146634615384615,0.6830408736487946,0.5853365384615384,0.7970540098199672,0.4353518821603928,0.674982674982675,0.615486404461576,0.5544326195300863
138,Walklets SkipGram,UNS,UNS,0.9961832061068704,0.0043620501635769,0.9923664122137406,0.0032715376226826,0.9961832061068704,0.992399565689468,0.0043572984749454,0.9961854340273532,0.9956427015250544,0.9967284623773174,0.9956379498364232,0.9961852861035424,0.9974743991180762,0.9928133131721126
139,Walklets SkipGram,UNS,UNS,0.8494271685761048,0.0,0.6988543371522096,0.3011456628477905,0.8494271685761048,0.6988543371522095,0.0,0.8359750816574675,1.0,0.6988543371522095,1.0,0.8227360308285164,0.9660406191990272,0.9742094764177106
142,Walklets SkipGram,DANS,UNS,0.7933478735005453,0.4023991275899673,0.5866957470010905,0.0109051254089421,0.7933478735005453,0.7052877138413686,0.2891849529780564,0.8384888310476211,0.7108150470219435,0.9890948745910578,0.5976008724100327,0.8271773825809393,0.9803847475707256,0.9665415204921766
143,Walklets SkipGram,DANS,UNS,0.6554828150572831,0.3797054009819967,0.3109656301145662,0.309328968903437,0.6554828150572831,0.5005931198102017,0.3547400611620794,0.667579468889279,0.6452599388379205,0.690671031096563,0.6202945990180033,0.6671936758893281,0.6847090037795891,0.6352461741795047
144,DeepWalk GloVe,UNS,DANS,0.799618320610687,0.193565976008724,0.5992366412213741,0.2071973827699018,0.799618320610687,0.6642302421196894,0.1962410171365395,0.7982620028764698,0.8037589828634605,0.7928026172300982,0.806434023991276,0.7982432061487785,0.8773786581819955,0.8483866375894191
145,DeepWalk GloVe,UNS,DANS,0.5040916530278232,0.2176759410801964,0.0081833060556464,0.7741407528641571,0.5040916530278232,0.1854838709677419,0.4907749077490775,0.3391359549774596,0.5092250922509225,0.2258592471358428,0.7823240589198036,0.3129251700680272,0.5721992601541301,0.5227802791550882
146,DeepWalk GloVe,UNS,DANS,0.8197928026172301,0.1521264994547437,0.6395856052344602,0.208287895310796,0.8197928026172301,0.6871746332229058,0.1611785095320623,0.8149264553791992,0.8388214904679376,0.7917121046892039,0.8478735005452562,0.814586255259467,0.9065607945876328,0.8887198504989717
147,DeepWalk GloVe,UNS,DANS,0.5212765957446809,0.1472995090016366,0.0425531914893617,0.8101472995090017,0.5212765957446809,0.1654778887303851,0.4368932038834952,0.3269668880904494,0.5631067961165048,0.1898527004909983,0.8527004909983633,0.2839657282741738,0.6065825388874454,0.5623751663063946
148,Degree,DANS,DANS,0.6363140676117776,0.3151581243184297,0.2726281352235551,0.4122137404580153,0.6363140676117776,0.4469320066334992,0.3490338164251207,0.6185701076933796,0.6509661835748792,0.5877862595419847,0.6848418756815703,0.6177650429799427,0.7067208781420615,0.6311069115387037
149,Degree,DANS,DANS,0.6538461538461539,0.2880523731587561,0.3076923076923077,0.4042553191489362,0.6538461538461539,0.4625158831003812,0.3259259259259259,0.6337002794138847,0.674074074074074,0.5957446808510638,0.7119476268412439,0.63249348392702,0.7110971523166391,0.6303905961814928
150,Degree,DANS,DANS,0.6727099236641222,0.5591603053435115,0.3454198473282441,0.0954198473282442,0.6727099236641221,0.5801713586291309,0.3820078226857888,0.7476787131548148,0.6179921773142112,0.9045801526717556,0.4408396946564885,0.7343144848954299,0.6596575172228439,0.5573866410665271
151,Degree,DANS,DANS,0.67430441898527,0.5360065466448445,0.3486088379705401,0.1153846153846154,0.67430441898527,0.5759190197123069,0.3773041474654378,0.7421902256755114,0.6226958525345622,0.8846153846153846,0.4639934533551554,0.7308992562542258,0.6664512577647654,0.5670108734731332
152,AdamicAdar,DANS,DANS,0.4839149400218102,0.9482006543075244,-0.0321701199563795,0.0839694656488549,0.4839149400218102,0.470193115029387,0.5086282538754021,0.6709035125616578,0.4913717461245978,0.916030534351145,0.0517993456924754,0.6396344945745288,0.8175294242165138,0.8043453669102542
