,features_names,evaluation_negative_sampling_method,model_negative_examples,accuracy,fall_out,informedness,miss_rate,balanced_accuracy,threat_score,false_discovery_rate,fowlkes_mallows_index,precision,recall,specificity,f1_score,auroc,auprc
0,First-order LINE,DANS,DANS,0.6973827699018539,0.2497273718647764,0.3947655398037077,0.3555070883315158,0.6973827699018539,0.5157068062827225,0.2792682926829268,0.6815471198534833,0.7207317073170731,0.6444929116684842,0.7502726281352236,0.6804835924006909,0.7604805747250826,0.7457437322093011
1,First-order LINE,DANS,DANS,0.6260229132569558,0.2405891980360065,0.2520458265139116,0.5073649754500819,0.6260229132569558,0.3970976253298153,0.328125,0.5753165712192516,0.671875,0.4926350245499181,0.7594108019639935,0.5684608120868744,0.6762759126864012,0.6875203040745861
4,DeepWalk SkipGram,UNS,DANS,0.7339149400218102,0.3151581243184297,0.4678298800436204,0.2170119956379498,0.7339149400218102,0.5953565505804311,0.2869910625620655,0.7471796604678383,0.7130089374379345,0.7829880043620502,0.6848418756815703,0.7463617463617463,0.7868811311599985,0.7378259167002167
5,DeepWalk SkipGram,UNS,DANS,0.5752864157119476,0.3240589198036007,0.1505728314238952,0.5253682487725041,0.5752864157119476,0.3584672435105068,0.4057377049180327,0.5310892145423639,0.5942622950819673,0.4746317512274959,0.6759410801963993,0.5277525022747953,0.5593738364570973,0.5925145162186423
8,Walklets CBOW,UNS,DANS,0.903217011995638,0.0436205016357688,0.806434023991276,0.1499454743729552,0.903217011995638,0.8145245559038663,0.048810250152532,0.8992013965669186,0.951189749847468,0.8500545256270448,0.9563794983642312,0.8977828966311546,0.9752666523167742,0.960447533170362
9,Walklets CBOW,UNS,DANS,0.6612111292962357,0.0540098199672667,0.3224222585924714,0.6235679214402619,0.6612111292962357,0.3571428571428571,0.1254752851711026,0.5737587961459973,0.8745247148288974,0.3764320785597381,0.9459901800327332,0.5263157894736842,0.8326808564211496,0.8186034762667456
12,HOPE,DANS,DANS,0.542257360959651,0.6177753544165758,0.0845147219193021,0.2977099236641222,0.542257360959651,0.4341085271317829,0.4679884345311854,0.6112499021878561,0.5320115654688146,0.7022900763358778,0.3822246455834242,0.6054054054054054,0.6321744011397461,0.639498646490248
13,HOPE,DANS,DANS,0.5130932896890343,0.585924713584288,0.0261865793780686,0.3878887070376432,0.5130932896890343,0.3859649122807017,0.4890710382513661,0.5592364324575705,0.5109289617486339,0.6121112929623568,0.4140752864157119,0.5569620253164557,0.5456430257070992,0.5867482407550569
14,HOPE,DANS,DANS,0.740185387131952,0.425845147219193,0.480370774263904,0.0937840785169029,0.740185387131952,0.6355640535372848,0.3196889070814572,0.7851807078401443,0.6803110929185427,0.906215921483097,0.574154852780807,0.7771802665419687,0.7737471889868937,0.7077347260581878
15,HOPE,DANS,DANS,0.632569558101473,0.4042553191489362,0.2651391162029459,0.3306055646481178,0.632569558101473,0.4766899766899767,0.3765243902439024,0.6460271695125163,0.6234756097560976,0.6693944353518821,0.5957446808510638,0.6456195737963694,0.6627379654506443,0.6302023252869335
